"Activity" "Subject" "NA"
"WALKING" "1" 0.277330758736842
"WALKING" "2" 0.276426586440678
"WALKING" "3" 0.275567462068966
"WALKING" "4" 0.278582015166667
"WALKING" "5" 0.27784234625
"WALKING" "6" 0.283658868070175
"WALKING" "7" 0.275592961754386
"WALKING" "8" 0.27468631
"WALKING" "9" 0.278502842115385
"WALKING" "10" 0.278574076603774
"WALKING" "11" 0.271821892881356
"WALKING" "12" 0.2771286656
"WALKING" "13" 0.275883130350877
"WALKING" "14" 0.271959598644068
"WALKING" "15" 0.273899207962963
"WALKING" "16" 0.276023564509804
"WALKING" "17" 0.272341855245902
"WALKING" "18" 0.273887758571429
"WALKING" "19" 0.273931172307692
"WALKING" "20" 0.272589336470588
"WALKING" "21" 0.279183526730769
"WALKING" "22" 0.27886459
"WALKING" "23" 0.273211884237288
"WALKING" "24" 0.276980816034483
"WALKING" "25" 0.278992759054054
"WALKING" "26" 0.279264443728814
"WALKING" "27" 0.276849485438596
"WALKING" "28" 0.281228223888889
"WALKING" "29" 0.271999916792453
"WALKING" "30" 0.276406758
"WALKING_UPSTAIRS" "1" 0.255461689622641
"WALKING_UPSTAIRS" "2" 0.247164790395833
"WALKING_UPSTAIRS" "3" 0.260819873067797
"WALKING_UPSTAIRS" "4" 0.270876696730769
"WALKING_UPSTAIRS" "5" 0.268459469914894
"WALKING_UPSTAIRS" "6" 0.268229355098039
"WALKING_UPSTAIRS" "7" 0.248706923078431
"WALKING_UPSTAIRS" "8" 0.258880152048781
"WALKING_UPSTAIRS" "9" 0.262436475714286
"WALKING_UPSTAIRS" "10" 0.267121853404255
"WALKING_UPSTAIRS" "11" 0.263775859277778
"WALKING_UPSTAIRS" "12" 0.272970338653846
"WALKING_UPSTAIRS" "13" 0.258203939581818
"WALKING_UPSTAIRS" "14" 0.26242106612963
"WALKING_UPSTAIRS" "15" 0.270187595833333
"WALKING_UPSTAIRS" "16" 0.255986102627451
"WALKING_UPSTAIRS" "17" 0.252604768583333
"WALKING_UPSTAIRS" "18" 0.265401201896552
"WALKING_UPSTAIRS" "19" 0.242118808925
"WALKING_UPSTAIRS" "20" 0.252098317156863
"WALKING_UPSTAIRS" "21" 0.265194544680851
"WALKING_UPSTAIRS" "22" 0.248391534566667
"WALKING_UPSTAIRS" "23" 0.249995171031373
"WALKING_UPSTAIRS" "24" 0.269881106779661
"WALKING_UPSTAIRS" "25" 0.277995411384615
"WALKING_UPSTAIRS" "26" 0.272691394545455
"WALKING_UPSTAIRS" "27" 0.265770253921569
"WALKING_UPSTAIRS" "28" 0.262005841764706
"WALKING_UPSTAIRS" "29" 0.265423066877551
"WALKING_UPSTAIRS" "30" 0.271415642261538
"WALKING_DOWNSTAIRS" "1" 0.289188320408163
"WALKING_DOWNSTAIRS" "2" 0.27761534806383
"WALKING_DOWNSTAIRS" "3" 0.292423484693878
"WALKING_DOWNSTAIRS" "4" 0.279965329555556
"WALKING_DOWNSTAIRS" "5" 0.29354392712766
"WALKING_DOWNSTAIRS" "6" 0.277045258145833
"WALKING_DOWNSTAIRS" "7" 0.28030708
"WALKING_DOWNSTAIRS" "8" 0.283484089210526
"WALKING_DOWNSTAIRS" "9" 0.295923445
"WALKING_DOWNSTAIRS" "10" 0.290401594315789
"WALKING_DOWNSTAIRS" "11" 0.291605631956522
"WALKING_DOWNSTAIRS" "12" 0.281521097391304
"WALKING_DOWNSTAIRS" "13" 0.294907553404255
"WALKING_DOWNSTAIRS" "14" 0.293422115555556
"WALKING_DOWNSTAIRS" "15" 0.280198851190476
"WALKING_DOWNSTAIRS" "16" 0.295586802191489
